	SRR6298350	SRR6298351	SRR6298384	SRR6298349	SRR6298348	SRR6298347	SRR6298379	SRR6298380	SRR6298381	SRR6298382	SRR6298352	SRR6298383
Macrophages M0	0.19995461205316495	0.0	0.0	0.668582513916673	0.383339753090672	0.0	0.2539820547747269	0.0	1.10525329081904	0.8864619791850671	0.0	0.42498342726568
Macrophages_M1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	0.2448439101603289	0.440686719465442	0.0	0.0	0.543092017340723	0.0	0.6311640095988279	0.0	0.0	1.57222566901229	0.0
Dendritic cells resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0808578329301354	0.0	0.0
Dendritic cells activated	0.0	0.06814419587540871	0.161810210040201	0.0	0.145467459195554	0.406918016124202	0.811478952394545	0.08383824245747691	0.7848895840569908	0.7377398017450991	2.3964592354835603	0.347359478780622
Mast cells resting	1.6604161158720903	0.653493601283064	1.77330433832347	2.55621367172565	2.04817346748263	0.0	2.6998674476023	2.29614863229644	3.12894551609392	3.9443874059889503	3.8539169445736494	1.55971185504605
Mast cells activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0419113192583273	0.0	1.46761178776855	0.456353186720826	0.0152710425682063	0.470295295439541	0.0	0.0	0.0	0.14274340564120802	0.4420362197134651	2.17255491562132
Neutrophils	1.13391229936936	0.0	3.46486096800672	0.0	0.14289972590175998	0.0	0.0	0.0	0.0	0.636016646304816	0.0	0.0
P-value	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Correlation	71.70928850504359	71.9660130398532	70.1669081690287	74.48306503201042	71.21075399746199	50.70374581461021	69.32700524293621	66.4330281006461	77.9182929522281	77.0236587885264	70.62322358258609	67.32166563149799
RMSE	71.84917362610392	72.7889513498837	74.04075804829229	70.555982118877	72.39018211837409	86.2079611290555	74.41869180476222	75.80544046170769	68.462178771384	70.22680809414061	73.89485760810601	75.15201631386842
T_cells	36.04595061192686	30.294840602990003	25.87402897342737	27.54754881155438	21.77511402189689	37.532489206784966	35.065492702310856	38.28186155528182	27.495075503005143	28.421877334705318	22.087275542222237	24.755386941500877
Macrophages	0.19995461205316495	0.2448439101603289	0.440686719465442	0.668582513916673	0.383339753090672	0.543092017340723	0.2539820547747269	0.6311640095988279	1.10525329081904	0.8864619791850671	1.57222566901229	0.42498342726568
NK_cells	19.8989037758626	14.546009951801098	9.09879222576624	20.1024436897376	16.8665586966058	21.27854813108861	16.591567412535298	19.940183507163397	17.868067419459898	17.673461805508495	14.459561609100401	16.036117053830402
Dendritic_cells	0.0	0.06814419587540871	0.161810210040201	0.0	0.145467459195554	0.406918016124202	0.811478952394545	0.08383824245747691	0.7848895840569908	0.8185976346752345	2.3964592354835603	0.347359478780622
Mast_cells	1.6604161158720903	0.653493601283064	1.77330433832347	2.55621367172565	2.04817346748263	0.0	2.6998674476023	2.29614863229644	3.12894551609392	3.9443874059889503	3.8539169445736494	1.55971185504605
B_cells	4.016033731400082	14.253606645286707	13.438741001048616	8.964095754098745	6.873709929477831	6.826051955462452	11.931035726217575	6.49765706981338	8.064420600888017	10.968579994972249	8.820980567521646	4.52073551409847
CD4_T_cells	6.0512329547860695	8.630464556000298	9.55154927249017	9.420140225731679	5.6487090302021885	4.947215929491669	6.359840846652057	7.385177838434719	6.838643949420941	13.17339120837002	7.5697582821239395	2.87334150614768
Lymphocytes	59.96088811918955	59.09445720007781	48.41156220024222	56.61408825539071	45.51538264798053	65.63708929333603	63.588095841063726	64.71970213225859	53.427563523353065	57.06391913518607	45.36781771884428	45.31223950942975
Non_plasma_B_cells	3.93776228687452	10.495451410599179	11.19674969953766	8.6019305992473	6.312111373426269	6.60408433992892	11.578509729869996	5.05477012120508	6.5464563004314185	7.8923740354598095	8.51663123793306	4.52073551409847
