	length
EIF2AK1	3554.5616585066873
NME8	1190.4997500000002
EPDR1	1818.1388616224258
MRPL28	810.8361010238425
HBQ1	368.97
CEACAM6	2491.2297345728884
RBM22	2055.2471121480085
HSD17B2	6516.751213873355
MAP2	4509.406105303979
ZW10	2824.795
ITGB4	4878.602593637603
PPP1R15A	2141.6650533642687
TRIP6	1406.3097446691581
ADAM11	3361.765
LAMP2	2777.2346026750647
SLC22A4	2033.795
CETP	1488.0
MT3	342.20093872029327
PTHLH	1050.5555555555557
TFAP2C	2667.0
SULT2B1	1194.172593680522
EPS8L1	2041.0514294339355
CACNB4	3683.513614633608
NOL4L	4356.779626988021
DNMT3B	3884.067601296522
REM1	1497.795
PDRG1	1830.795
EPB41L1	1750.1287470566795
PPP1R13B	1825.3333333333333
TGM6	2057.34
RALGAPA2	6555.703772905391
RPL6	777.802290825151
ESF1	2802.1483944274096
SLC8B1	1722.8289468345292
TMEM230	1269.4271482643635
OAS1	1304.8682524688825
SIRT4	832.1593559487651
TRMT6	2155.86776209401
HAUS5	4084.0
UQCRC1	1817.795
GMIP	2553.553860316824
LAG3	1699.462939247334
MLF2	1240.8578326217712
OTUB2	3720.035
LTBP4	1946.7550864912664
TFAP4	1613.1780847553978
PDCD7	2652.0
SPG21	1350.1633238577738
CHRD	3185.0
THPO	1336.2656575778062
FLT3LG	962.0
GNPTG	1350.6647696399732
GOLGA3	7934.102116103804
CD209	3289.6995945813724
EFNB1	3146.795
GLG1	4696.938728425104
PLEKHG2	3127.8724177432114
DLL3	1556.9391666666666
NAT14	1178.5007915883539
AASDH	3074.956914126658
LAMB4	2453.440244739071
DLD	2366.1801406919312
ABCC6	2372.820308086896
CMTM6	3695.795
MYO15A	4117.4673738610445
APOH	566.675125
SPAG7	916.5936480473031
ESR1	4395.496003466573
RGS17	5442.811720907026
TMEM101	1260.9104169838424
CCDC80	5840.687073947893
CMA1	653.5890026463433
PSME1	841.0638048803517
HAUS4	1014.0807472291169
CEBPE	1386.795
OSGEP	1803.0
SLC22A17	2216.270452090429
G2E3	1507.8958322055778
TGM1	875.7503705932892
TBX15	3222.0664534597454
TEKT2	974.2832500000001
UNC13D	2962.429844459285
VNN3	1097.5384615384614
XYLB	2724.2389984006445
OR1I1	1074.795
ADH7	1428.8
ADH1A	1331.795
KRT23	1114.70973568769
CDC6	2394.847398269488
AAAS	1639.2465557224418
CBX5	8148.693074341755
KLHL20	3253.795
FMO2	3498.1183610666026
DHPS	903.5660258214689
RAB26	964.9009636026718
PTBP3	6021.953341313595
PSMD5	2893.857007213812
NANS	991.1681713550571
SEMA4G	2077.0746580809655
TPSD1	990.27325
GSTA3	511.60035754340066
MAPK13	3309.03215226452
TMEM14A	824.797
RPS18	445.7668844527751
GPANK1	1398.9389716833543
BAG6	1702.4073258989279
VARS	2665.244398299666
PRRT1	1213.2693333333332
LST1	404.3290432719056
ZNF184	2807.5103583365176
VCL	5459.39458711716
SIRT1	3648.204115106651
TGFBR3	4606.619505083484
TMED1	951.3226337044248
MZF1	1686.2871420062486
OCEL1	530.8570187179473
PSMD8	1045.9217904929
STX1B	3979.0
BCL7C	1531.2932749852446
EFNA2	781.797
ATP5D	534.7517346407799
PCDH11Y	5379.167262371293
AMELY	545.9835
FGF22	1124.3000000000002
SMIM24	737.3333333333334
IGFALS	1592.6675099869663
MARCH2	1165.6980099938428
NDUFB7	363.9945
TECR	944.6206368865026
TIMM13	862.1784724899516
CDC34	1172.7817970510287
MISP	2703.795
GADD45B	1174.0
MADCAM1	1369.1357229284968
MAPK12	1247.1752118128848
SERPIND1	2004.4992489747324
SNAP29	2296.362553902698
LZTR1	4114.719986424264
THAP7	989.5827184752861
MMP11	2123.795
MIF	771.797
DDTL	1377.795
OSM	1280.4914426820264
TBC1D10A	1450.0089663314593
SF3A1	4025.6018115469087
USP18	1961.795
RNF215	1047.9341362449463
SEC14L3	2258.5206078066003
SNRPD3	1032.5303723155757
MAPK1	4013.674525547889
TCN2	1859.2833810416423
CRYBB3	591.701
MORC2	3487.3155928455158
SLC25A1	1430.6176073038505
PLA2G3	2529.795
LGALS2	392.00000000000006
PDXP	1582.4790265713418
ASPHD2	3189.795
LGALS1	392.9335
PIK3IP1	1739.0268331823977
SRRD	3155.3923444663474
PATZ1	3021.987344701558
CRYBB1	934.797
ANKRD54	1462.0474341098197
NHP2L1	883.7288883071808
MICALL1	3095.5937036121086
CENPM	623.1427030190705
KDELR3	1419.7952932823016
DMC1	1603.52869570625
HSCB	863.2701541732637
CBY1	789.7242112809859
TOMM22	1872.795
RSPH14	496.0
XBP1	1573.7684893999653
RTCB	1859.795
JOSD1	3116.270641386471
GTPBP1	2988.085971225585
PPP6R2	3399.0775242651225
DNAL4	1287.9046645612461
C22orf31	827.797
MIOX	1454.3229361978138
LMF2	2420.6
CBX6	5810.154880089687
RHBDD3	1315.165420321205
APOBEC3D	1855.672409933411
RASL10A	1342.71
HMGXB4	2865.084838863259
BIK	785.797
HMOX1	1653.26
NIPSNAP1	2031.3881476130955
MCM5	1607.5
ARSA	1748.5471578942734
RASD2	3244.795
TTLL12	2805.8255487462147
CBX7	3539.4231673977683
ACR	923.7505
CABP7	3091.795
RPL3	1163.9926119683296
SYNGR1	1952.18771799053
TAB1	3019.859746076799
PNPLA5	2033.3000000000002
PNPLA3	2606.0
MYH9	6438.934096178957
TXN2	1308.7497776459627
FOXRED2	3373.5689257380322
EIF3D	1507.5549099272232
ADSL	1560.2447406734066
PVALB	352.0368196163537
UPK3A	683.5731289059945
FAM118A	1499.8668962971242
ST13	1791.230978923334
IL2RB	2728.05988136218
RBX1	1020.795
L3MBTL2	2767.870881966168
CHADL	1496.117150341012
PHF5A	918.797
ACO2	2576.3109467288405
PMM1	1130.795
CERK	4282.795
BRD1	4307.236018646323
ZBED4	6725.795
HDAC10	2400.804129652218
RIPK3	1227.571637324996
PAPOLA	3045.5029736110696
HSP90AA1	3180.0
NID2	4448.195762110589
MARK3	1843.0614571317851
SNAPC1	2488.795
SUPT16H	4341.478819820901
ABHD4	1184.8600168835746
FKBP3	1185.98
CTSG	718.7969999999999
GZMH	613.7558724167927
GZMB	677.981449352216
PRMT5	1222.5858091958999
COCH	2113.895314092234
AP4S1	1811.4591483117783
POLE2	1212.25
SOS2	4273.926926924136
CDKL1	1624.2106049770227
PYGL	2593.9458134188694
GNPNAT1	3067.2074860391253
CNIH1	1206.4648575378906
CGRRF1	974.6129271771772
ATP6V1D	837.8927024544255
C14orf105	1224.113130584704
PLEK2	910.5465561656235
PIGH	1066.149218842664
PSMA3	752.3561827454891
GSTZ1	861.6949849555408
TMED8	7616.795
SAMD15	2365.0
AHSA1	1055.1054838685814
SPTLC2	6505.473703037151
RIN3	3234.0826438757504
ALKBH1	2426.795
CHGA	1602.44
DHRS7	1119.367613412652
SIX4	5412.724446223416
CEP128	1890.3012658063487
SLC10A1	1881.795
EIF5	3646.0181867586184
SLC8A3	3187.4498683783877
ZFYVE21	1216.9379142834246
MTHFD1	2720.265573545442
BDKRB1	1270.7358333333332
VRK1	1104.8856180859425
APEX1	1187.6193261481849
PABPN1	1756.3785870888714
EFS	2821.134730232532
CINP	740.8537333886056
SRP54	1872.479119980755
PCK2	1516.6457936682905
NFKBIA	1383.6149014493687
EMC9	703.6831715601209
PSME2	607.376095602723
BRMS1L	2458.0
PNN	2755.54466969272
RABGGTA	1856.556957868796
CYP24A1	2135.598258506301
PTPRA	2342.7028787964755
NSFL1C	2610.938398295769
ZFP64	2155.0079832809024
SIRPG	1141.8
GSS	1723.0
PYGB	3768.2435159331353
PROCR	1180.795
MYBL2	2474.175
R3HDML	1209.795
PABPC1L	1560.5761128376348
SALL4	5009.0
CSTF1	2200.856018377365
TPD52L2	2011.1662029761196
ZNF512B	4474.837318924099
CTSZ	1327.795
TUBB1	3328.795
SLCO4A1	2318.1495918348824
TCFL5	2287.934017359054
BIRC7	984.9933378072417
UBOX5	3512.7047859016357
EEF1A2	1652.8145582212205
PTK6	2665.182408034466
SRMS	1348.795
C20orf27	1121.621524238208
TRIB3	2105.398413482455
CSNK2A1	1990.6700855708498
MACROD2	2274.595593824875
SLC52A3	2581.0253626315393
RSPO4	2002.2670660214771
PROKR2	987.797
FERMT1	3418.7210955533183
PDYN	2408.685
TM9SF4	3817.7686717616325
TLDC2	1279.5370975767523
SNTA1	2174.795
OXT	346.03999999999996
PXMP4	4292.313298479995
CHMP4B	1478.795
LBP	1793.795
SLC32A1	2406.795
CST4	583.8154999999999
WFDC2	426.8018684315924
AHCY	1978.2050000000002
SPINT3	309.273
FAM83D	2201.62
PIGU	1433.0
ACOT8	809.4189125623291
APMAP	2134.0302429367043
TXNL1	1511.6753320432072
MYL12A	852.8620184564597
RNF125	5852.795
POLI	2255.937868528998
NOX1	1613.0349817823608
TAF9	817.064513852037
IDH3G	1182.9197005864348
SLC25A43	2615.795
H2BFWT	544.7065
MXRA5	9625.795
VSIG1	2811.9358373122723
PSMD10	1193.5593372659876
STS	6353.795
TBL1X	4200.914384464107
PGRMC1	1737.1346678635848
RHOXF1	601.8154999999999
NXT2	2056.2643875370923
GUCY2F	3546.795
ATP1B4	3696.1529576921084
TLR8	3771.523860509081
WDR13	1966.101994540078
PAGE4	326.2359035535687
GLRA2	2053.1575000000003
STAG2	3769.2581045101515
F9	1863.975
ABCD1	3098.7705548624454
BCORL1	5105.9056856467905
KCND1	3624.648075409462
SLC25A14	1183.5202595864125
FMR1	2338.727115613924
PQBP1	758.0159314322897
PCSK1N	882.797
RAB40AL	1545.795
GPR50	1732.4850000000001
RP2	3635.795
USP11	2398.2169022031985
HTATSF1	2368.75206257668
TIMP1	671.7923687014387
PIN4	1094.8235547849122
ITIH6	4800.795
MAGED2	1904.6825640052552
GLA	1150.795
ATP12A	3796.0
NDFIP2	2471.261876610194
MLNR	1071.795
ACP5	1174.852633972124
ARHGEF7	2268.7877496085284
SGCG	1456.795
DHRS12	1036.75
OLFM4	2729.795
ACSM2A	1511.6082500000002
NTHL1	868.0
ZNF263	2068.4014407957075
MMP2	2069.069315789028
ZNF205	1522.5341802251153
ORC6	1462.75
C16orf70	2178.4317749732636
CORO1A	1363.310095163143
MT4	134.47899999999998
LYRM1	1090.5034839167138
NUTF2	1025.923356714828
CBLN1	1415.6875
ARL2BP	1903.0926667237695
PLLP	3120.132217175144
CCL22	2761.795
DHODH	2966.4715672486036
CCL17	385.59899999999993
ACD	1343.364884493974
POLR2C	1889.795
PARD6A	1051.7289615914037
MMP15	3948.234449359329
USB1	1712.8724226276183
CCDC113	4837.155959264376
PRSS54	1236.0
NME3	805.7605464098544
PSMD7	1200.8607352075865
SETD6	2733.0233906053795
SLC38A7	3397.2067474537444
HAS3	2984.137138022619
SMPD3	4229.149169030321
SLC7A6	3220.60214503316
PLA2G15	2039.9669519945903
FA2H	918.2567572168541
CMC2	1341.526444995644
PDIA2	931.0
ARHGDIG	486.3283
MPG	940.9850399547561
HSDL1	2927.4572138507237
WFDC1	1163.1350000000002
USP10	1897.9023197927268
TSC2	3881.4503532145877
ZNF500	2390.0435881900985
NME4	828.5859807259731
DECR2	1052.5438263709707
FAM173A	642.9013503895128
METRN	1182.8085952337603
STUB1	818.2272594782835
RHBDL1	1298.545545754574
MEFV	2781.705
CRYM	772.9627499999999
CAPN15	3882.2382284203904
AQP8	1127.845
USP31	6160.04660363212
HMOX2	967.5191659515349
TOX3	2110.6666666666665
MAZ	1160.6131159707313
CDIPT	1544.9661063242952
BCKDK	1679.2482131253155
KAT8	1399.2981866895104
TMC5	4045.4727014884356
SLC6A2	2409.7251773371354
KNOP1	3071.7859385120264
MGA	7068.840813006314
AQP9	2618.7986671158333
CSK	1769.2299987884346
MTFMT	2566.795
RASL12	1935.5739916831244
CTSH	878.3900589208279
CEMIP	4748.2048941722915
EHD4	3418.3038014313634
TGM5	2274.43
GABPB1	1585.9976926535346
SCG3	3143.735
DNAJC17	1156.8504588434967
RHOV	1537.795
VPS18	3632.1678586368325
OIP5	828.8547373051952
BLOC1S6	1926.018047858683
EXTL3	4730.32186617244
FDFT1	1673.1855017115852
AGO2	8293.64141047827
PAG1	10576.8
TG	3559.7403269567517
BRF2	1954.2738980150998
ZFAND1	1016.8327206188696
RP1	6932.795
RIPK2	2416.795
CPQ	1122.5069067157249
DECR1	1076.0035694987969
SFRP1	4180.69160269478
PLAT	2036.2759399332267
DKK4	726.797
GDAP1	3467.0
PHF20L1	2910.695317629058
EIF3E	1111.3596426110462
EMC2	1011.3939872786882
WISP1	3146.353106511424
STMN2	1003.3333333333334
TRPS1	3110.063732467175
CHRAC1	2058.9519869178202
NCALD	1397.0093382477166
GML	406.77725000000004
UBR5	7356.3703788346575
PYCRL	2217.960966779151
MTMR9	5888.799356850858
DCTN6	899.7739860567907
GSR	2402.240024961119
TNFRSF10A	1945.070875791299
PPP2CB	1313.319916804268
NEFM	2847.75
KCTD9	3233.795
HOMER3	1173.0783970140428
CNOT3	2455.3
EXOSC5	720.086
PNPLA6	2982.640790229063
PLAUR	949.0129504984216
PAF1	1824.6598650504047
STXBP2	1325.0274516368959
CYP4F3	4762.570424535374
ZNF432	2654.754177165179
ZNF180	1937.1666666666667
ZNF780B	4576.466047591097
MAN2B1	2971.094832012107
TULP2	653.4
DHDH	631.3333333333334
ECH1	961.2083626296312
HNRNPL	1456.8267904536633
LHB	326.8275
SARS2	1571.2142375083135
KCNA7	4204.795
SNRNP70	1274.4049883887092
RELB	2080.003198721046
CLASRP	1774.1062407177224
LIN7B	412.5195
PPP1R37	2917.7739767166768
FCGRT	999.6053135885019
CKM	1489.795
PEX11G	914.7459999999999
SLC17A7	2441.2200000000003
RNASEH2A	997.797
SF3A2	1412.992146776418
AMH	1653.795
DKKL1	543.0
TRMT1	1795.7828702390211
RETN	241.24383333333333
RSPH6A	2012.0900000000001
TBC1D17	1661.309220071617
CCDC130	987.0559040302379
AES	1378.524125419001
SGTA	1760.5159395849828
SNAPC2	1240.3523762667983
C19orf53	501.80633326863557
FIZ1	2340.8974424544185
C19orf44	1509.9617253573747
EPHX3	1607.4499999999998
ZNF419	2000.9129093466272
SLC1A6	2788.0
POP4	1504.0
LGALS13	296.0118333333333
FBL	667.9602714015978
CLC	467.82649999999995
EBI3	1018.795
TBCB	532.0647812889581
FSD1	759.4101900000001
POLR2I	745.797
APLP1	1161.2283231813851
CACTIN	2862.7750348046184
CCDC9	1369.8025548565975
TGFB1	2201.7886562853655
ATP5SL	1255.0
CEACAM4	970.7865357335393
PLIN3	1765.8821763372302
CD79A	940.3237093888517
LIM2	750.7452499999999
RPS19	330.15056438390457
NKG7	610.5293405514913
ICAM5	1613.0
CEACAM5	2587.484396472101
CRX	4021.735
SULT2A1	1819.795
CDC37	1346.7058638478727
RABAC1	607.7672151277259
CNFN	352.0677901849907
ZNRF4	1258.795
HAS1	1340.4
RAB3D	3871.2536775300637
DBP	1101.855920143833
CAPS	1800.776280372942
EPOR	2212.0
RASIP1	2997.2349999999997
FGF21	933.63775
WDR83OS	644.4596077126332
CACNG7	1280.5373333333334
GCDH	1025.194372928554
DNASE2	1756.0
LENG1	785.670926132829
RPL18A	494.3869523078478
SLC5A5	3408.795
KCNN1	3425.9999999999995
ARRDC2	1972.7536821823883
PIK3R2	3820.007220988746
RAB3A	1045.7689908794569
PSENEN	571.6974574143746
COMP	2198.7874077105052
UPK1A	1015.8693884102515
TMEM147	732.4931423745725
GAPDHS	933.0617500000001
HAMP	406.0
USF2	774.9641287446523
KXD1	1035.0735444090765
FKBP8	1472.6374315512403
ERF	1982.6786843488585
GSK3A	2328.487243281149
ZNF574	2425.49806551272
SIPA1L3	7317.291627357265
CADM4	2010.795
PON1	2400.795
CYP3A43	1056.0
ABCF2	2486.86852147834
HGF	2566.5289081669093
LAMB1	4868.162293950619
UBE2D4	3382.522736046331
WNT16	2221.3353073306776
CPA2	1198.795
CPA4	2530.503738973155
GTPBP10	2354.331389233203
TFPI2	1558.6290744804244
BET1	1174.1811912097214
NAMPT	2656.4615165692076
TWISTNB	3774.795
PON2	1247.495272381118
ITGB8	7479.708324366117
HBP1	1649.070360183464
SP4	5927.0
CBLL1	3005.7548806017444
DLX5	1235.4370000000001
MPP6	3007.035515173497
OGDH	3152.7915023517967
NPVF	1022.795
H2AFV	1200.687749951691
CAV2	2273.3641446809056
HOXA2	1646.795
LFNG	1894.2242239283828
HOXA5	1489.795
HOXA6	821.797
TSPAN12	1796.0174014094073
HOXA13	4862.795
EVX1	1864.8200000000002
CHN2	1263.3265095647953
ABHD11	1213.8314138223773
FKBP14	4792.795
STX1A	1668.878148145464
NOD1	2075.846292824186
CCL24	415.09060065094855
BUD31	731.8641239202159
CYP3A5	1839.3333333333333
SNX8	1743.3932714035693
WASL	4267.795
HYAL4	689.6542956490161
SPAM1	1775.6290516741494
AIMP2	1011.2942607132333
TFR2	2721.213333333333
MOSPD3	946.7396385902525
PCOLCE	1534.795
RBM28	4748.534338720456
SERPINE1	3022.795
MOGAT3	1964.145
C1GALT1	2864.8814422713
PLOD3	2067.598747593841
RPA3	648.0
FIS1	572.7749264047093
GLCCI1	4258.363263541429
MYL10	841.797
NRF1	2020.822893846627
CEP41	2232.1181897404877
ZNF862	3462.270619511452
MEST	1907.8515965959696
RARRES2	578.5780638634113
YAE1D1	726.9465
GIMAP2	1196.7193906401426
PSMA2	802.1586667201714
MRPL32	867.797
COA1	1016.248785031137
AEBP1	3521.735590409543
POLD2	1364.9832881729353
MYL7	391.80708333333337
BCL7B	1136.3815878383325
YKT6	2423.0917888111267
CLIP2	4247.054211965769
PTGS1	3596.038204721633
ZNF510	3805.813427388956
ZNF688	842.8146800000001
CHMP5	1327.0884714601084
FKTN	2899.6439123301207
PRUNE2	6309.143667566196
SEC61B	378.76099999999997
C5	5297.795
AKNA	4786.94867691302
TNFSF8	1646.1195056141567
AK1	861.4047714261749
RLN1	799.797
PLGRKT	764.797
TBC1D13	3728.0268079602724
ELAVL2	835.8478723928949
EDF1	493.19791709374044
SETX	10579.471451094516
C8G	455.7202176413372
VIM	1668.2148789704042
BLNK	1369.7466171374751
CYP26A1	1986.0
ATE1	3079.052253923911
CDH23	5373.70569215172
CCSER2	4634.127992816813
ACTA2	1155.8050389428504
SFXN3	2922.9324972245
FBXL15	1757.7757591018512
PITRM1	1939.258888658749
OBFC1	1192.6656527306113
DNAJC12	976.8908922134522
PPIF	1699.2117944795305
TBC1D12	5104.795
MPO	3016.0
ST6GALNAC2	1971.0
DHX33	5399.146932248832
UTP18	1523.8091375973895
SLC25A39	1243.350603872642
P2RX5	1549.142857142857
EPX	2540.795
CRYBA1	615.8154999999999
NUFIP2	8225.525863491004
GIT1	2220.0720526828995
RPL19	561.1588213790392
RUNDC3A	1528.03
CSF3	1056.0951666666667
SUPT4H1	984.5098499989515
WNT3	3188.24
SHPK	3670.795
TAX1BP3	1196.4421525257114
P2RX1	2529.795
KRT37	1307.795
GOSR2	906.888071807545
PNPO	2188.853453781643
TVP23C	1428.1624929285892
RPS6KB1	2983.2886383997306
CBX1	1582.710711685898
